ID,Name,Site,rotation,Soil,Position,Frost,Feeding,Companions,Spacing,Sow,Notes,Harvesting,Troubleshooting
11,Apple (Espalier),/plants/us-and-canada/how-to-grow-espalier-apple-trees/,Miscellaneous ●,Prepare a large hole by breaking up the soil and adding plenty of compost or other organic matter.,Sun or partial shade.,Yes.,Not normally required,Chives and Nasturtium.,"Single Plants: 11' 5"" (3.50m) each way (minimum)
Rows: 11' 5"" (3.50m) with 11' 5"" (3.50m) row gap (minimum)","Plant in mid-fall or early winter when it's not too cold for a little root growth to help them establish. Should be planted with at least one other apple tree which flowers at a similar time to aid pollination.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Prune towards the end of the season to remove any dead or overcrowded branches and to shape if required.,Harvest when apples are ripe.,< Back to All Plants
12,Apple (Large),/plants/us-and-canada/how-to-grow-apples/,Miscellaneous ●,Prepare a large hole by breaking up the soil and adding plenty of compost or other organic matter.,Sun or partial shade.,Yes.,Not normally required,"Chives, Nasturtium, Parsnip, Garlic and Lavender.","Single Plants: 16' 4"" (5.00m) each way (minimum)
Rows: 16' 4"" (5.00m) with 16' 4"" (5.00m) row gap (minimum)","Plant in mid-fall or early winter when it's not too cold for a little root growth to help them establish. Should be planted with at least one other apple tree which flowers at a similar time to aid pollination.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Prune towards the end of the season to remove any dead or overcrowded branches and to shape if required.,Harvest when apples are ripe.,< Back to All Plants
13,Apricot (Dwarf),/plants/us-and-canada/how-to-grow-dwarf-apricot-trees/,Miscellaneous ●,"Deep, moisture-retentive but well-drained, slightly alkaline soil.",Best grown against a sheltered south-facing wall in cool climates. Elsewhere apricots need full sun to limit disease and produce high quality fruit.,"Yes, but it is important to choose varieties known to grow well in your area to reduce risk of losing blooms to spring freezes. Cold damage to apricot blossoms is a major limiting factor in where they can be successfully grown.","Feed with balanced organic  fertilizer in early spring. Keep the area beneath apricots mulched with wood chips, straw, or another mulch that helps maintain soil moisture.","Basil, Tansy and Garlic. Corridors within the orchard that are planted with clovers and other legumes contribute to soil fertility and attract pollinators.","Single Plants: 9' 10"" (3.00m) each way (minimum)
Rows: 9' 10"" (3.00m) with 9' 10"" (3.00m) row gap (minimum)","Prepare a large hole by breaking up the soil and adding plenty of well-rotted organic matter. A wide hole is better than a very deep one. Mulch after planting, and encircle the trunk with a wire cage or protective pipe to protect the young tree from animal and insect pests. Young apricot trees are at high risk for damage from insects that bore into the main trunk.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Prune in spring or mid to late summer in the cool climates. Elsewhere prune apricots in late winter. Healthy apricot trees will bear for ten to fifteen years or more.,Harvest when the fruit is soft and can be pulled easily from the tree. Ripe apricots fall to the ground.,"Dieback and oozing resin can often be remedied by improving growing conditions. Mulching, watering, feeding, weeding and hard pruning can all help. In humid climates, apricots often develop problems with fungal diseases such as brown rot. Preventive sprays with organic fungicides are often needed to grow good quality apricots. Plum curculios feed on buds, flowers and unripe fruits. Control by allowing hens to feed around trees, or shake branches to dislodge the insects onto a sheet then plunge into very hot water. Remove any fallen fruits as soon as possible."
14,Apricot (Large),/plants/us-and-canada/how-to-grow-apricots/,Miscellaneous ●,"Deep, moisture-retentive but well-drained, slightly alkaline soil.",Best grown against a sheltered south-facing wall in cool climates. Elsewhere apricots need full sun to limit disease and produce high quality fruit.,"Yes, but it is important to choose varieties known to grow well in your area to reduce risk of losing blooms to spring freezes. Cold damage to apricot blossoms is a major limiting factor in where they can be successfully grown.","Feed with balanced organic  fertilizer in early spring. Keep the area beneath apricots mulched with wood chips, straw, or another mulch that helps maintain soil moisture.","Basil, Tansy and Garlic. Corridors within the orchard that are planted with clovers and other legumes contribute to soil fertility and attract pollinators.","Single Plants: 19' 8"" (6.00m) each way (minimum)
Rows: 19' 8"" (6.00m) with 19' 8"" (6.00m) row gap (minimum)","Prepare a large hole by breaking up the soil and adding plenty of well-rotted organic matter. A wide hole is better than a very deep one. Mulch after planting, and encircle the trunk with a wire cage or protective pipe to protect the young tree from animal and insect pests. Young apricot trees are at high risk for damage from insects that bore into the main trunk.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Prune in spring or mid to late summer in the cool climates. Elsewhere prune apricots in late winter. Healthy apricot trees will bear for ten to fifteen years or more.,Harvest when the fruit is soft and can be pulled easily from the tree. Ripe apricots fall to the ground.,"Dieback and oozing resin can often be remedied by improving growing conditions. Mulching, watering, feeding, weeding and hard pruning can all help. In humid climates, apricots often develop problems with fungal diseases such as brown rot. Preventive sprays with organic fungicides are often needed to grow good quality apricots. Plum curculios feed on buds, flowers and unripe fruits. Control by allowing hens to feed around trees, or shake branches to dislodge the insects onto a sheet then plunge into very hot water. Remove any fallen fruits as soon as possible."
15,Artichoke (Globe),/plants/us-and-canada/how-to-grow-globe-artichokes/,Miscellaneous ●,"Rich, well drained, with plenty of compost added.",Full sun or partial afternoon shade.,"Short-lived perennial where winters are mild, but often grown as an annual in climates with warm days and cool nights.",Keep well fed with liquid feed through midsummer. Feed less when plants begin to produce buds.,Peas and Hairy Vetch.,"Single Plants: 2' 11"" (90cm) each way (minimum)
Rows: 2' 11"" (90cm) with 2' 11"" (90cm) row gap (minimum)","Start seeds indoors 8 weeks before last spring frost, or buy rooted divisions in spring. Set out at about the time of the last frost.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Need plenty of water, so mulch generously to keep the soil cool and moist.",Use a sharp knife to cut the heads (flower buds) with 2 inches of stem attached while they are still closed or justly slightly opening.,"Artichokes grow best in cool, maritime climates, but a few plants are worth trying in any garden."
16,Arugula,/plants/us-and-canada/how-to-grow-arugula/,Brassicas (Cabbage family) ●,"Fertile, well drained soil that holds moisture well.",Full sun to partial afternoon shade.,"Yes, tolerates light frosts and moderate freezes.",Not generally required.,"Beans, Dill, Lettuce, Mint, Nasturtium and Thyme.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 3"" (10cm) with 7"" (20cm) row gap (minimum)","Sow directly in the soil in early spring, or start indoors and set out seedlings. Arugula also makes a fine fall crop, and plants often survive winter with a protective mulch.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",An easy salad crop that doubles as a cooked green. Flower buds are also edible. Hot weather causes leaves to become very strongly flavored.,Harvest young leaves as you need them for cooking. The flower buds and flower petals also are edible.,Flea beetles sometimes make small holes in leaves.
17,Asparagus,/plants/us-and-canada/how-to-grow-asparagus/,Miscellaneous ●,"Fertile, well drained, and free of persistent weeds.",Full sun to partial afternoon shade.,Long-lived hardy perennial. Beds can produce for decades.,Mulch with 2 inches of rich compost or rotted manure every winter.,"Tomato, Marigold, Calendula and Petunia.","Single Plants: 1' 5"" (45cm) each way (minimum)
Rows: 1' 5"" (45cm) with 1' 5"" (45cm) row gap (minimum)","Set out dormant 1-year old roots, called crowns, in late winter or early spring. A few varieties can be grown from seed.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","After the stems die back in early winter, cut them off at ground level and compost them. Remove weeds, apply compost and mulch, and your yearly maintenance is done.","Begin gathering spears the second year after planting, cutting all spears that appear for a month in early spring. In subsequent years, harvest for 6 weeks each spring.","Cutting new shoots just below the surface often helps control problems with asparagus beetles, which often lay their eggs on tender shoots near the soil line."
18,Aster (China),/plants/us-and-canada/how-to-grow-aster-china/,Miscellaneous ●,Any good garden soil.,Full sun.,Little or none for annual asters. Many perennial asters are very cold hardy.,"Encourage fast growth by mixing a balanced organic fertilizer into the soil before planting.  Take care not to overfeed China asters, which may not bloom well when given too much nitrogen.","Zinnia and Sunflower. Use China asters as feature plants for the late summer garden, but do not crowd them.","Single Plants: 11"" (30cm) each way (minimum)
Rows: 11"" (30cm) with 11"" (30cm) row gap (minimum)","When starting China aster seeds indoors in early spring, cover them well with moist seed starting mix. China asters also can be direct-sown in late spring, after the soil has warmed. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Providing some type of grow-through support for China asters helps to keep the plants upright in late summer, when they become heavy with blooms.  Blossom colors include pink, purple, lavender, white, and red.","Gather China asters for flower arrangements when the blooms are just beginning to open. When kept in fresh water, new petals will unfold for two weeks.","Leafhoppers spread disease among asters. Where this is a problem, cover plants with row cover (garden fleece) during the first half of the growing season."
19,Basil,/plants/us-and-canada/how-to-grow-basil/,Miscellaneous ●,Rich soil.,A sunny spot that is convenient for quick picking.,No.,Not usually required.,"Tomato, Pepper and Lettuce.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 5"" (15cm) with 9"" (25cm) row gap (minimum)","Make a late spring planting of seedlings started indoors or purchased. In summer, after the soil is warm, sow more basil wherever you want it to grow.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Cover transplants with flowerpots to shade them from strong sun for 2 days or so. To keep new leafy branches coming on, pinch off the upright flower spikes as they appear.","Harvest leaves a few at a time as you need them in the kitchen. In midsummer, cut plants back by half to stimulate new growth, and make big batches of pesto with the trimmings.",Plants that slowly wilt to death and show a dark ring on their stems near the soil line are infected with fusarium wilt.
20,Bay,/plants/us-and-canada/how-to-grow-bay-leaves/,Miscellaneous ●,"Fertile, well drained soil, or high quality organic potting soil.",Full sun to partial afternoon shade.,"Bay is a half-hardy shrub or small tree that can tolerate winter temperatures no lower than 20F (-7C). In cold climates, bay is best grown in a container that can be kept indoors in winter.",Fertilize bay grown in containers with an organic water soluble fertilizer every three weeks from spring to late summer. Feeding is not generally needed for plants grown outdoors as herb garden specimen plants or hedges.,"Beans. Use an attractively potted bay plant as a movable accent in your summer herb garden. In mild winter climates, use bay as a landscape shrub or small tree.","Single Plants: 1' 5"" (45cm) each way (minimum)
Rows: 1' 5"" (45cm) with 1' 11"" (60cm) row gap (minimum)","Start with a purchased plant, because bay stem cuttings are very difficult to root. Spring and early summer are the best times to adopt a new bay plant.  Outdoors, allow 6 feet (2 meters) between plants being grown as a hedge. When grown in containers, gradually shift plants to a container at least 12"" (30 cm) in diameter. A mature plant, grown in a sunken container, will occupy a space 18"" (45 cm) square.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","When growing bay as a potted plant, allow the soil to become dry as fall approaches. Through winter, allow the soil to dry between waterings. Dried bay used in bouquets supposedly brings good luck.","Stem or leaves as desired from early summer to fall. In midsummer, gather perfect small branches and dry them in small bunches. Stored dried leaves in airtight containers.","Repot containers every other spring, gradually moving to slightly larger pots. Outdoors, prune as needed if plants outgrow their space."
21,Beans (Bush Snap),/plants/us-and-canada/how-to-grow-bush-snap-beans/,Legumes (Pea and Bean family) ●,"Average, well drained soil.",Full sun to very light shade.,"Warm-season annuals, cannot tolerate frost.","Mix an organic fertilizer into the soil before planting, using rates given on the label. Supplemental fertilizer seldom required.","Beet, Marigold, Carrot, Celery, Swiss Chard, Corn, Cucumber, Peas, Potatoes, Strawberry, Radish and Cabbage.","Single Plants: 9"" (25cm) each way (minimum)
Rows: 5"" (15cm) with 1' 1"" (35cm) row gap (minimum)","Plant seeds 2 inches deep and 6 inches apart in late spring, after the last frost has passed and the soil is warm. Make additional sowings until midsummer.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Bush beans are among the easiest vegetables to grow; highly recommended for first-time gardeners. Also can be used as a warm-weather cover crop to boost soil nitrogen levels.,"Gather pods before they fill with seeds. When picked often, many varieties continue to produce for up to a month.",Japanese beetles and Mexican bean beetles sometimes damage leaves and pods. Gather them in broad containers of soapy water in the cool of the morning.
22,Beans (Dry),/plants/us-and-canada/how-to-grow-dry-beans/,Legumes (Pea and Bean family) ●,"Average, well drained soil.",Full sun.,"Warm-season annuals, cannot tolerate frost.","Mix an organic fertilizer into the soil before planting, using rates given on the label. Supplemental fertilizer seldom required.","Celery, Corn, Cucumber, Potatoes, Strawberry, Catnip, Rosemary and Lettuce.","Single Plants: 9"" (25cm) each way (minimum)
Rows: 7"" (20cm) with 1' 1"" (35cm) row gap (minimum)","Plant seeds 2 inches deep and 3 inches apart in late spring, after the last frost has passed and the soil is warm. Make additional sowings until midsummer.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",The pods of many dry beans can be eaten as snap beans when very young.,"Gather pods when they dry to tan. Allow the harvested beans to dry indoors for one to two weeks before storing in a cool, dry place. Most varieties produce all at once.",Pods that come into contact with soil are prone to rot. Mulch to prevent this problem.
23,Beans (Fava),/plants/us-and-canada/how-to-grow-fava-beans/,Legumes (Pea and Bean family) ●,"Good, well-drained soil.",Most locations.,Yes.,Not usually required.,"Carrot, Celery, Corn, Lettuce, Potatoes, Nasturtium, Lovage, Cabbage, Brussels Sprouts, Cauliflower, Broccoli and Kale.","Single Plants: 7"" (20cm) each way (minimum)
Rows: 5"" (15cm) with 9"" (25cm) row gap (minimum)","Sow direct into soil in rows. Use blankets or cloches to protect seedlings from hard freezes.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Support plants in windy places. Dig in or compost roots and plants to make good use of their residual nitrogen.,Harvest before the pods become tough. Often get a second crop.,< Back to All Plants
24,Beans (Lima),/plants/us-and-canada/how-to-grow-lima-beans/,Legumes (Pea and Bean family) ●,"Average, well drained soil.",Full sun.,"Warm-season annuals, cannot tolerate frost.","Mix an organic fertilizer into the soil before planting, using rates given on the label. Supplemental fertilizer seldom required.",Corn.,"Single Plants: 9"" (25cm) each way (minimum)
Rows: 5"" (15cm) with 1' 1"" (35cm) row gap (minimum)","Plant seeds 2 inches deep and 4 inches apart two weeks or more after the last frost has passed. Grow pole varieties in warm climates, but stick with faster-maturing bush varieties where summers are short.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.",Lima beans need plenty of hot weather. They are most productive in warm climates.,"For fresh eating, gather pods when they feel well-filled with seeds, and are slightly leathery. Limas for dry storage can be left on the plants until they change from green to tan.","Slow growth due to cool temperatures is common, but pest problems are rare. Lima beans are easy to grow in warm climates."
25,Beans (Pole),/plants/us-and-canada/how-to-grow-pole-beans/,Legumes (Pea and Bean family) ●,"Average, well drained soil.",Full sun to very light shade.,"Warm-season annuals, cannot tolerate frost.","Mix an organic fertilizer into the soil before planting, using rates given on the label. Supplemental fertilizer seldom required.","Sunflower, Corn and Rosemary.","Single Plants: 9"" (25cm) each way (minimum)
Rows: 5"" (15cm) with 1' 1"" (35cm) row gap (minimum)","Plant seeds 2 inches deep and 6 inches apart in late spring, after the last frost has passed and the soil is warm. Install a sturdy trellis before you plant your pole beans.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Mulch to keep the soil cool and moist, and to reduce problems with weeds.","Gather pods before they fill with seeds. When picked often, pole beans continue to produce all summer.","Japanese beetles and Mexican bean beetles sometimes damage leaves and pods. Gather them in broad containers of soapy water in the cool of the morning. During very hot weather, pole beans may temporarily stop producing new flowers and pods."
26,Beet,/plants/us-and-canada/how-to-grow-beets/,Chenopodiaceae (Beet family) ●,"Rich, well drained soil that holds moisture well.",Sun or partial shade.,Yes.,Rarely required.,"Beans, Cabbage, Brussels Sprouts, Cauliflower, Broccoli, Kale, Garlic, Onions and Onion.","Single Plants: 5"" (15cm) each way (minimum)
Rows: 3"" (10cm) with 7"" (20cm) row gap (minimum)","Sow in mid-spring, at about the time apple trees bloom. Sow fall crops in mid to late summer. Thin seedlings to at least 5 inches apart to grow large roots.
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Each seed is actually a multi-celled capsule, so you may need small scissors to thin plants to proper spacing. Weed carefully, and mulch between plants to deter weeds. Baby beet greens often are included in salad mixes.","Harvest young leaves for salad greens as you thin young plants. Pull roots when they become plump. To keep through winter, harvest plants, cut off the tops, and keep in a cool root cellar or refrigerator.",< Back to All Plants
27,Begonia,/plants/us-and-canada/how-to-grow-begonia/,Miscellaneous ●,Any fertile soil that holds moisture well.,Partial shade to full sun.,"Moderate. Plants in sheltered locations often survive light frosts, but begonias are easily killed by hard freezes.","Mix a standard application of a balanced organic fertilizer into the soil prior to planting along with a generous helping of well-rotted compost. When growing begonias in containers, use a rich potting soil that holds moisture well.",Coleus and Impatiens. Begonias are go-anywhere annuals often used to bring color to isolated spots. They are among the easiest summer annuals to grow in containers.,"Single Plants: 11"" (30cm) each way (minimum)
Rows: 9"" (25cm) with 1' 1"" (35cm) row gap (minimum)","Tiny begonia seeds can be sown indoors in late winter, but it takes three months to grow a seedling to transplanting size. Most gardeners buy begonias as inexpensive bedding plants, set out in spring as soon as any danger of frost has passed. Large varieties like ‘Dragon Wing’ need wider spacing, or you can grow them in 14-inch (35cm) diameter containers. 
	Our Garden Planner can produce a personalized calendar of when to sow, plant and harvest for your area.","Because they are so adaptable, bedding begonias make excellent flowers to repeat in pockets throughout the landscape, which provides a sense of unity. Flower colors include pink, white, and red. Foliage colors can range from light green to dark red.",Begonias rarely need trimming except to remove injured branches and old flower clusters.,Begonias have a low tolerance for drought and almost always require supplemental water.
